Entity,Code,Year,GDP.per.capita,Baseline Gini series (GCIP income and van Zanden et al. (2014)),Population,baseline_GCIP_income_vZ_source
Austria,AUT,1890,3894,0.4050129,5394000,regional average
Austria,AUT,1910,5244,0.442836215384615,6614000,regional average
Austria,AUT,1929,5896,0.459344178571429,6664000,regional average
Austria,AUT,1950,5907,0.3770676,6935000,van Zanden et al. (2014) - original
Austria,AUT,1960,10391,0.28692076,7047000,GCIP (income) - original
Austria,AUT,1970,15537,0.28692076,7467000,GCIP (income) - original
Austria,AUT,1980,21932,0.31604723,7549000,GCIP (income) - original
Austria,AUT,1990,26930,0.25655582,7723000,GCIP (income) - original
Austria,AUT,2000,34796,0.2808396,8059000,GCIP (income) - original
Austria,AUT,2005,37643,0.28586409,8276000,GCIP (income) - original
Austria,AUT,2010,40288,0.30085163,8413000,GCIP (income) - original
Austria,AUT,2017,42177,0.30679569,8849000,GCIP (income) - original
Azerbaijan,AZE,1820,489.330036730654,0.4556807,879858.245485074,regional average
Azerbaijan,AZE,1850,584.540434097592,0.29696375,1184872.55737285,regional average
Azerbaijan,AZE,1870,718.536556960731,0.737,1424610.43264224,van Zanden et al. (2014) - original
Azerbaijan,AZE,1890,965.124450951686,0.35428918,1777935.41273368,regional average
Azerbaijan,AZE,1910,1502.93655441679,0.39293042,2381442.34279029,regional average
Azerbaijan,AZE,1929,1544.89848706687,0.4195083,2763636.91798787,regional average
Azerbaijan,AZE,1950,3167.42654953636,0.404486325,2885000,regional average
Azerbaijan,AZE,1960,4397.61054172767,0.24600343,3882000,GCIP (income) - original
Azerbaijan,AZE,1970,6214.56222547584,0.24600343,5169000,GCIP (income) - original
Azerbaijan,AZE,1980,7165,0.24600343,6173000,GCIP (income) - original
Azerbaijan,AZE,1990,7394,0.30903404,7200000,GCIP (income) - original
Azerbaijan,AZE,2000,4215,0.35258345,8127000,GCIP (income) - original
Azerbaijan,AZE,2005,7554,0.40186193,8475000,GCIP (income) - original
Azerbaijan,AZE,2010,16154,0.44947339,8933000,GCIP (income) - original
Azerbaijan,AZE,2017,16522,0.44947339,9566000,GCIP (income) - original
Bahrain,BHR,1820,1305.90137503786,0.5771468,40903.7075592031,regional average
Bahrain,BHR,1850,1511.45134582333,0.6309967,47846.1671965753,regional average
Bahrain,BHR,1870,1653.63402152031,0.50372255,53117.3996520421,regional average
Bahrain,BHR,1890,1911.81236765036,0.359815542857143,61509.1877983061,regional average
Bahrain,BHR,1910,2223.68596840946,0.4170863,71226.7582447786,regional average
Bahrain,BHR,1929,2673.59532184882,0.43255035,88721.9417714571,regional average
Bahrain,BHR,1950,3354,0.413117133333333,115000,regional average
Bahrain,BHR,1960,4532,0.551407375,157000,regional average
Bahrain,BHR,1970,6038,0.536578971,220000,regional average
Bahrain,BHR,1980,6994,0.521253823,348000,regional average
Bahrain,BHR,1990,6542,0.51632674,500000,regional average
Bahrain,BHR,2000,17022,0.514761829,671000,regional average
Bahrain,BHR,2005,25231,0.516138441,897000,regional average
Bahrain,BHR,2010,34058,0.514539179,1252000,regional average
Bahrain,BHR,2017,40696,0.512141274,1508000,regional average
Bangladesh,BGD,1820,595.706695672127,0.328,15644804.1323081,regional average
Bangladesh,BGD,1850,603.133764225375,0.4182703,20706140.2402415,van Zanden et al. (2014) - original
Bangladesh,BGD,1870,668.057825615108,0.501948,23469075.8286974,van Zanden et al. (2014) - original
Bangladesh,BGD,1890,773.370644947563,0.3938298,26659805.0064516,van Zanden et al. (2014) - original
Bangladesh,BGD,1910,902.692594776518,0.3912521,31283985.0264967,regional average
Bangladesh,BGD,1929,942.709061331108,0.3812392,37067655.1225659,regional average
Bangladesh,BGD,1950,861,0.4135698,45646000,van Zanden et al. (2014) - original
Bangladesh,BGD,1960,869,0.17245985,54593000,GCIP (income) - original
Bangladesh,BGD,1970,1004,0.22978872,67331000,GCIP (income) - original
Bangladesh,BGD,1980,875,0.32278523,87937000,GCIP (income) - original
Bangladesh,BGD,1990,1006,0.38987162,111437000,GCIP (income) - original
Bangladesh,BGD,2000,1485,0.4361135,135211000,GCIP (income) - original
Bangladesh,BGD,2005,1926,0.43532223,145579000,GCIP (income) - original
Bangladesh,BGD,2010,2599,0.43197458,153992000,GCIP (income) - original
Bangladesh,BGD,2017,3837,0.43197458,165767000,GCIP (income) - original
Barbados,BRB,1820,934.099195951288,0.47762336,24082.9044210105,regional average
Barbados,BRB,1850,1097.54107752987,0.42178576,39676.4335408276,regional average
Barbados,BRB,1870,1344.20211472995,0.5176308,52457.7097865165,regional average
Barbados,BRB,1890,1558.23628795092,0.422064675,71119.6023182439,regional average
Barbados,BRB,1910,1937.08141626136,0.4553967,99115.7980930551,regional average
Barbados,BRB,1929,2599.1633086384,0.50958666,137382.82595707,regional average
Barbados,BRB,1950,3390,0.4827313,211000,van Zanden et al. (2014) - original
Barbados,BRB,1960,5316,0.41127364,232000,GCIP (income) - original
Barbados,BRB,1970,10197,0.41127364,239000,GCIP (income) - original
Barbados,BRB,1980,12318,0.43151579,252000,GCIP (income) - original
Barbados,BRB,1990,12994,0.45205516,262000,GCIP (income) - original
Barbados,BRB,2000,12600,0.47288135,274000,GCIP (income) - original
Barbados,BRB,2005,12379,0.48339364,280000,GCIP (income) - original
Barbados,BRB,2010,11954,0.49396538,286000,GCIP (income) - original
Barbados,BRB,2017,12061,0.49396538,292000,GCIP (income) - original
Belarus,BLR,1820,647.909847657183,0.4556807,2355031.3246571,regional average
Belarus,BLR,1850,773.975589432499,0.29696375,3171433.58337371,regional average
Belarus,BLR,1870,951.396554903902,0.55086742,3813116.72820221,regional average
Belarus,BLR,1890,1277.89751098097,0.35428918,4758827.47214194,regional average
Belarus,BLR,1910,1990.00126891167,0.39293042,6374176.00382205,regional average
Belarus,BLR,1929,2045.56203025867,0.4195083,7397159.19608401,regional average
Belarus,BLR,1950,4193.91146900927,0.404486325,7722000,regional average
Belarus,BLR,1960,5822.76778916545,0.24600343,8168000,GCIP (income) - original
Belarus,BLR,1970,8228.54875549049,0.24600343,9027000,GCIP (income) - original
Belarus,BLR,1980,9487,0.24600343,9644000,GCIP (income) - original
Belarus,BLR,1990,11467,0.22206292,10201000,GCIP (income) - original
Belarus,BLR,2000,9111,0.24089817,10034000,GCIP (income) - original
Belarus,BLR,2005,12630,0.43647883,9807000,GCIP (income) - original
Belarus,BLR,2010,17172,0.45355786,9681000,GCIP (income) - original
Belarus,BLR,2017,18113,0.43504536,9550000,GCIP (income) - original
Belgium,BEL,1820,2358,0.6243673,3434000,van Zanden et al. (2014) - original
Belgium,BEL,1850,2944,0.5276835,4449000,van Zanden et al. (2014) - original
Belgium,BEL,1870,4291,0.5280577,5096000,van Zanden et al. (2014) - original
Belgium,BEL,1890,5464,0.49,6096000,van Zanden et al. (2014) - original
Belgium,BEL,1910,6478,0.5016337,7498000,van Zanden et al. (2014) - original
Belgium,BEL,1929,8056,0.5212138,8032000,van Zanden et al. (2014) - original
Belgium,BEL,1950,8706,0.3768051,8639000,van Zanden et al. (2014) - original
Belgium,BEL,1960,11081,0.25175797,9119000,GCIP (income) - original
Belgium,BEL,1970,16914,0.25175797,9638000,GCIP (income) - original
Belgium,BEL,1980,23060,0.25175797,9847000,GCIP (income) - original
Belgium,BEL,1990,27412,0.25155418,9969000,GCIP (income) - original
Belgium,BEL,2000,33720,0.30617697,10253000,GCIP (income) - original
Belgium,BEL,2005,36338,0.29744056,10481000,GCIP (income) - original
Belgium,BEL,2010,37739,0.28472367,10922000,GCIP (income) - original
Belgium,BEL,2017,39352,0.27678498,11377000,GCIP (income) - original
Benin,BEN,1820,1279.76979646603,0.4795059,440892.604252337,van Zanden et al. (2014) - original
Benin,BEN,1850,1122.49169016633,0.46770565,567791.075384394,regional average
Benin,BEN,1870,1385.34003220145,0.513095516666667,672087.359527816,regional average
Benin,BEN,1890,1330.63272281556,0.35073254,817608.226836844,regional average
Benin,BEN,1910,1385.91777188857,0.4136697,994637.383242768,van Zanden et al. (2014) - original
Benin,BEN,1929,1260.015820351,0.4574295,1266343.3539347,van Zanden et al. (2014) - original
Benin,BEN,1950,1627,0.4042056,1673000,van Zanden et al. (2014) - original
Benin,BEN,1960,1468,0.57443525,2065000,GCIP (income) - original
Benin,BEN,1970,1543,0.57443525,2646000,GCIP (income) - original
Benin,BEN,1980,1691,0.57443525,3510000,GCIP (income) - original
Benin,BEN,1990,1811,0.57443525,4817000,GCIP (income) - original
Benin,BEN,2000,1909,0.57443525,6677000,GCIP (income) - original
Benin,BEN,2005,1876,0.57869257,7838000,GCIP (income) - original
Benin,BEN,2010,1855,0.58881495,9179000,GCIP (income) - original
Benin,BEN,2017,2142,0.5907551,11613000,GCIP (income) - original
Bolivia,BOL,1820,1020.52700406296,0.47762336,1100000,regional average
Bolivia,BOL,1850,1199.09139472807,0.42178576,1374000,regional average
Bolivia,BOL,1870,1277.48322424402,0.5176308,1495000,regional average
Bolivia,BOL,1890,1361,0.422064675,1626163.82677981,regional average
Bolivia,BOL,1910,1714,0.4553967,1837000,regional average
Bolivia,BOL,1929,2426,0.3691031,2370000,van Zanden et al. (2014) - original
Bolivia,BOL,1950,3011,0.3382697,2766000,van Zanden et al. (2014) - original
Bolivia,BOL,1960,2560,0.50309072,3434000,GCIP (income) - original
Bolivia,BOL,1970,3469,0.50309072,4346000,GCIP (income) - original
Bolivia,BOL,1980,4100,0.50309072,5441000,GCIP (income) - original
Bolivia,BOL,1990,3502,0.42046931,6574000,GCIP (income) - original
Bolivia,BOL,2000,4174,0.52074587,8195000,GCIP (income) - original
Bolivia,BOL,2005,4445,0.57710977,9073000,GCIP (income) - original
Bolivia,BOL,2010,5142,0.47229121,9947000,GCIP (income) - original
Bolivia,BOL,2017,6521,0.48394786,11138000,GCIP (income) - original
Bosnia and Herzegovina,BIH,1820,454.379533405479,0.46301545,851781.200147255,regional average
Bosnia and Herzegovina,BIH,1850,542.789507622434,0.2771461,979997.54571113,regional average
Bosnia and Herzegovina,BIH,1870,667.214928533618,0.4338078,1347823.29120138,regional average
Bosnia and Herzegovina,BIH,1890,940.028321863422,0.344140369230769,1582696.03632347,regional average
Bosnia and Herzegovina,BIH,1910,1178.64505029116,0.3804116,2131821.32777028,regional average
Bosnia and Herzegovina,BIH,1929,1521.37162519852,0.4465857,2318347.52730397,regional average
Bosnia and Herzegovina,BIH,1950,1729.59131815775,0.3531899,2662000,regional average
Bosnia and Herzegovina,BIH,1960,2871,0.2443625,3240000,GCIP (income) - original
Bosnia and Herzegovina,BIH,1970,4251,0.25393896,3703000,GCIP (income) - original
Bosnia and Herzegovina,BIH,1980,6588,0.30184403,4092000,GCIP (income) - original
Bosnia and Herzegovina,BIH,1990,5893,0.31663626,4424000,GCIP (income) - original
Bosnia and Herzegovina,BIH,2000,7082,0.32429756,3901000,GCIP (income) - original
Bosnia and Herzegovina,BIH,2005,8058,0.3739521,3991000,GCIP (income) - original
Bosnia and Herzegovina,BIH,2010,8982,0.43683251,3983000,GCIP (income) - original
Bosnia and Herzegovina,BIH,2017,10069,0.43738915,3953000,GCIP (income) - original
Botswana,BWA,1820,391.487753596165,0.5190016,113319.677124032,regional average
Botswana,BWA,1850,343.375622261956,0.46770565,145935.542388099,regional average
Botswana,BWA,1870,423.782197916388,0.513095516666667,172742.11870709,regional average
Botswana,BWA,1890,423.782197916388,0.35073254,210144.373903074,regional average
Botswana,BWA,1910,423.782197916388,0.3560809,255644.993899815,van Zanden et al. (2014) - original
Botswana,BWA,1929,423.782197916388,0.3998406,325479.762218721,van Zanden et al. (2014) - original
Botswana,BWA,1950,489,0.416007780769231,430000,regional average
Botswana,BWA,1960,564,0.4893058,497000,GCIP (income) - original
Botswana,BWA,1970,907,0.4893058,584000,GCIP (income) - original
Botswana,BWA,1980,2348,0.58272998,900000,GCIP (income) - original
Botswana,BWA,1990,5267,0.6109867,1265000,GCIP (income) - original
Botswana,BWA,2000,8044,0.66278562,1665000,GCIP (income) - original
Botswana,BWA,2005,9798,0.64566745,1824000,GCIP (income) - original
Botswana,BWA,2010,12545,0.63241295,1990000,GCIP (income) - original
Botswana,BWA,2017,15397,0.63241295,2228000,GCIP (income) - original
Brazil,BRA,1820,867,0.4710099,4507000,van Zanden et al. (2014) - original
Brazil,BRA,1850,867,0.3688876,7234000,van Zanden et al. (2014) - original
Brazil,BRA,1870,1084,0.392,9797000,van Zanden et al. (2014) - original
Brazil,BRA,1890,1084,0.3558564,14199000,van Zanden et al. (2014) - original
Brazil,BRA,1910,990,0.381601,22216000,van Zanden et al. (2014) - original
Brazil,BRA,1929,1465,0.597,32894000,van Zanden et al. (2014) - original
Brazil,BRA,1950,2236,0.4933771,53443000,van Zanden et al. (2014) - original
Brazil,BRA,1960,3398,0.51852854,71695000,GCIP (income) - original
Brazil,BRA,1970,4635,0.54891513,95684000,GCIP (income) - original
Brazil,BRA,1980,8249,0.59819734,123020000,GCIP (income) - original
Brazil,BRA,1990,7842,0.58900295,151170000,GCIP (income) - original
Brazil,BRA,2000,9834,0.56928616,176369000,GCIP (income) - original
Brazil,BRA,2005,11306,0.54863749,188212000,GCIP (income) - original
Brazil,BRA,2010,14216,0.47167663,198142000,GCIP (income) - original
Brazil,BRA,2017,13952,0.4483784,209797000,GCIP (income) - original
Bulgaria,BGR,1820,911.871376390045,0.465460366666667,2187000,regional average
Bulgaria,BGR,1850,1089.29689613475,0.395,2500000,van Zanden et al. (2014) - original
Bulgaria,BGR,1870,1339,0.4782681,2586000,van Zanden et al. (2014) - original
Bulgaria,BGR,1890,1755.77075093068,0.3477324,3445000,van Zanden et al. (2014) - original
Bulgaria,BGR,1910,1812,0.329893933333333,4520000,regional average
Bulgaria,BGR,1929,1956,0.393708625,5950000,regional average
Bulgaria,BGR,1950,2632,0.362617966666667,7251000,regional average
Bulgaria,BGR,1960,4642,0.24440422,7867000,GCIP (income) - original
Bulgaria,BGR,1970,7608,0.21306265,8490000,GCIP (income) - original
Bulgaria,BGR,1980,9634,0.23743551,8844000,GCIP (income) - original
Bulgaria,BGR,1990,8922,0.24173196,8894000,GCIP (income) - original
Bulgaria,BGR,2000,8411,0.30855381,8335000,GCIP (income) - original
Bulgaria,BGR,2005,11758,0.3370064,7813000,GCIP (income) - original
Bulgaria,BGR,2010,14686,0.35531664,7545000,GCIP (income) - original
Bulgaria,BGR,2017,17764,0.36722076,7219000,GCIP (income) - original
Burkina Faso,BFA,1820,618.148203597196,0.5190016,1153225.36533666,regional average
Burkina Faso,BFA,1850,542.180495074308,0.46770565,1485148.68253563,regional average
Burkina Faso,BFA,1870,669.140227126259,0.513095516666667,1757952.35223773,regional average
Burkina Faso,BFA,1890,655.824654260514,0.35073254,2138585.53534849,regional average
Burkina Faso,BFA,1910,671.354076463569,0.374998,2601633.70536184,van Zanden et al. (2014) - original
Burkina Faso,BFA,1929,634.102752283985,0.4187578,3312324.27783517,van Zanden et al. (2014) - original
Burkina Faso,BFA,1950,756,0.4289357,4376000,van Zanden et al. (2014) - original
Burkina Faso,BFA,1960,971,0.84485716,4866000,GCIP (income) - original
Burkina Faso,BFA,1970,1188,0.84485716,5304000,GCIP (income) - original
Burkina Faso,BFA,1980,1165,0.84485716,6318000,GCIP (income) - original
Burkina Faso,BFA,1990,1286,0.84485716,8361000,GCIP (income) - original
Burkina Faso,BFA,2000,1275,0.78797112,11405000,GCIP (income) - original
Burkina Faso,BFA,2005,1310,0.58578695,13540000,GCIP (income) - original
Burkina Faso,BFA,2010,1326,0.57346932,15600000,GCIP (income) - original
Burkina Faso,BFA,2017,1530,0.56424289,19158000,GCIP (income) - original
Burundi,BDI,1820,463.093617104151,0.5190016,622731.155916481,regional average
Burundi,BDI,1850,406.181438571149,0.46770565,801966.713169948,regional average
Burundi,BDI,1870,501.294942420824,0.513095516666667,949278.201174076,regional average
Burundi,BDI,1890,501.294942420824,0.35073254,1154816.64077434,regional average
Burundi,BDI,1910,627.06513707423,0.4369366,1404858.41996573,van Zanden et al. (2014) - original
Burundi,BDI,1929,729.562942143667,0.4806963,1788624.83284381,van Zanden et al. (2014) - original
Burundi,BDI,1950,595,0.416007780769231,2363000,regional average
Burundi,BDI,1960,733,0.56262703,2815000,GCIP (income) - original
Burundi,BDI,1970,893,0.56262703,3522000,GCIP (income) - original
Burundi,BDI,1980,952,0.56262703,4288000,GCIP (income) - original
Burundi,BDI,1990,1124,0.56262703,5375000,GCIP (income) - original
Burundi,BDI,2000,740,0.57433871,6282000,GCIP (income) - original
Burundi,BDI,2005,692,0.56067494,7439000,GCIP (income) - original
Burundi,BDI,2010,718,0.55836733,9140000,GCIP (income) - original
Burundi,BDI,2017,671,0.55836733,10955000,GCIP (income) - original
Cambodia,KHM,1820,441.781699926039,0.4928329,2090000,regional average
Cambodia,KHM,1850,445.690703276249,0.358337885714286,2236598.49790107,regional average
Cambodia,KHM,1870,461.734736175511,0.431349457142857,2340000,regional average
Cambodia,KHM,1890,534.782515455346,0.3698106,2654993.97721005,regional average
Cambodia,KHM,1910,636.930883569171,0.426212866666667,3012390.17906908,regional average
Cambodia,KHM,1929,889.374370500974,0.448377042857143,3611935.74934757,regional average
Cambodia,KHM,1950,768,0.391484971428571,4471000,regional average
Cambodia,KHM,1960,1070,0.50036778,5761000,GCIP (income) - original
Cambodia,KHM,1970,1031,0.50036778,7396000,GCIP (income) - original
Cambodia,KHM,1980,1320,0.50036778,6888000,GCIP (income) - original
Cambodia,KHM,1990,1404,0.50036778,9345000,GCIP (income) - original
Cambodia,KHM,2000,1659,0.51106316,12321000,GCIP (income) - original
Cambodia,KHM,2005,2145,0.49506866,13265000,GCIP (income) - original
Cambodia,KHM,2010,2427,0.53842858,14418000,GCIP (income) - original
Cambodia,KHM,2017,3425,0.48892708,16165000,GCIP (income) - original
Cameroon,CMR,1820,824.14178994718,0.5615046,1288154.84135411,van Zanden et al. (2014) - original
Cameroon,CMR,1850,722.858371317307,0.46770565,1658913.79347216,regional average
Cameroon,CMR,1870,892.12655039737,0.513095516666667,1963635.9912564,regional average
Cameroon,CMR,1890,865.564903756304,0.3304797,2388803.95264704,van Zanden et al. (2014) - original
Cameroon,CMR,1910,893.764470024346,0.4242954,2906029.60507511,van Zanden et al. (2014) - original
Cameroon,CMR,1929,828.229158494742,0.443476,3699872.27377932,van Zanden et al. (2014) - original
Cameroon,CMR,1950,1070,0.3944976,4888000,van Zanden et al. (2014) - original
Cameroon,CMR,1960,1326,0.57497761,5609000,GCIP (income) - original
Cameroon,CMR,1970,1565,0.57497761,6727000,GCIP (income) - original
Cameroon,CMR,1980,1900,0.57497761,8762000,GCIP (income) - original
Cameroon,CMR,1990,1930,0.57497761,11884000,GCIP (income) - original
Cameroon,CMR,2000,1961,0.58340886,15914000,GCIP (income) - original
Cameroon,CMR,2005,2223,0.58710186,18249000,GCIP (income) - original
Cameroon,CMR,2010,2420,0.59333177,21002000,GCIP (income) - original
Cameroon,CMR,2017,2850,0.59997265,25680000,GCIP (income) - original
Canada,CAN,1820,1441,0.4513605,816000,van Zanden et al. (2014) - original
Canada,CAN,1850,2120,0.2673701,2485000,van Zanden et al. (2014) - original
Canada,CAN,1870,2702,0.4379224,3781000,van Zanden et al. (2014) - original
Canada,CAN,1890,3790,0.4122997,4918000,van Zanden et al. (2014) - original
Canada,CAN,1910,6481,0.4066906,7188000,van Zanden et al. (2014) - original
Canada,CAN,1929,8074,0.4194884,10305000,van Zanden et al. (2014) - original
Canada,CAN,1950,11622,0.3627374,14011000,van Zanden et al. (2014) - original
Canada,CAN,1960,13952,0.37578278,18267000,GCIP (income) - original
Canada,CAN,1970,19207,0.37578278,21750000,GCIP (income) - original
Canada,CAN,1980,25784,0.32749171,24593000,GCIP (income) - original
Canada,CAN,1990,30082,0.31233176,27791000,GCIP (income) - original
